"ชื่อร้าน","ชื่อผลิตภัณฑ์","ราคา","ลิงค์ผลิตภัณฑ์","ลิงค์รูปภาพ","จำนวนคำสั่งชำระเงินใน 30 วันที่ผ่านมา","อัตราการฟื้นตัว 48H ในช่วง 30 วันที่ผ่านมา","อัตราประสิทธิภาพ 48H ในช่วง 30 วันที่ผ่านมา","อัตราการตอบกลับ 3 นาทีในช่วง 30 วันที่ผ่านมา","อัตราการคืนเงินที่มีคุณภาพใน 30 วันที่ผ่านมา","อัตราการโต้แย้งใน 30 วันที่ผ่านมา","การรับรองความแข็งแกร่ง 1688","บริการทั่วไป","อัตราผลตอบแทน","แลกเปลี่ยนประสบการณ์","ประสบการณ์ที่มีคุณภาพ","ความตรงต่อเวลาของโลจิสติกส์","การระงับข้อพิพาท","ที่ปรึกษาการจัดซื้อจัดจ้าง","ลักษณะการลงทะเบียน","ช่วงเข้า","รูปแบบธุรกิจ","ที่ตั้ง","ที่อยู่","ข้อมูลติดต่อ","ระยะขอบ","ที่จัดตั้งขึ้น","พื้นที่องค์กร","จำนวนพนักงาน"
"东莞市达威电子有限公司","先锋主机CD机AUX改装升级更换 汽车线束 Pioneer蓝牙模块","¥14.00","https://detail.1688.com/offer/649418473697.html","https://cbu01.alicdn.com/O1CN01bKsFGQ2CWo7P7GULr_!!3102888482-0-cib.jpg","245","87.79%","82.26%","76.61%","0.82%","0%","实力工厂","4.0","62%","1.5","2.0","3.0","5.0","4.0","有限责任公司(自然人投资或控股)","7年","生产厂家","广东 东莞市 东莞市","中国广东东莞南城街道莞太路南城段6号2079室","13418906647","16000","2016/06/06","1000m²","101 - 200 人"
"深圳市柏盛高科技有限公司","19V12.6A 240W适配器过ETL CE欧盟认证电源 储能移动电源适配器","¥130.00","https://dj.1688.com/ci_bb?a=21446&e=-pRDj5dEspa6XIlfcnF170cWFYBP6d3ykWHSu0b0waBLjHxDv1QtVHqNVOs-Mn9qTodk5e.HDA198ESy-YYMyscBKlaYNetsVpk7.FQXq.MOAWPdJF3VGoJcja3LXGUYMxT4RulGCAiUlWfZ9vu9WvGmRp.A1EcpN2LgeI8peYUDaM1d.ciJGvNuYje0eDPAr0QtynUb9WzNltXW5GpyxdfY65Vs3VrRI.Qmva5K1ccm2-3IHgsJdxEzptyfHn93On3UVHu95At.q9u4mRq8KoWOacHGjFv9HOoKmDe2xjQW.QsqbHZpJOiTYuAMlagq82EjHh1j.ntLW7r0riMpYYnyE1MsR1Inq7goy6zBfhyoXusv.3er0XAivpg-Wn9ohbb0sPpscj4CY4Nh1SAk4OtImi952pfTSFQ1NTwEjrYyOUHKTRqQVuHp1upl3xFU1tDxOrOr5LsUK047jKztoLzQWlBCr-8LkBKTQmGfaC315NXyUOGk-KfEtxl3rU8.hIVlnR4atfj-og4vtbPxqKnBI23Y9hBlRQjNLslNqxomBl-zHJnf2I6hbCMVaWF6C2gbNGhZumnT3EkmhsK3Urdl.ewsVgUooSJLSkgCPrD1ypYoCw7rwlG7Lw1asSiDzqepDChFjamSe7QRbU-VrTG8iMM8xeEuzgVgP09XWYdJr-D6InMVSP9tKU88MDmfRwKbEmNaGQ4Eu9g7hoDmJ9rsMn92mKzq2DO1dvfKkXRysWyS0-7K-irDj0G6rtELItE3fH55uzpYgFnCFWA1zRwdxkUy1O-2S.3cQ-vl25gVWpSfLiRre4XL0K8lLBWpoF2rD2gUIsuFtCE0MVtvI8BXht-KSnlbLGbPXbZsdHkNfytqhItv-xA.yzRiWBbCdqsaATHYoyYZIgAf7AcVpmPVhpfUvsEQfTDzwd3Ho4JlIe07nV6C1IVRSqbueqtrI2OZk0p9-CgpnoZbmlIcKuxwksMpRFh3o9oTAVzcNgF9RRtjS3jf8mrSsC5lC.xHleb5sDdckJn5ZgkndE-xuoJ34vKFrVKbaBC5-pbK1wc4HyFZu7YEqWQRT.ZUSTdMe7y1tcrtBapHxEJToumpyxwnFs25rfl9It-qEdYC6SwpCmQhurIWNEWPlPk20CXbiOtK.wT0dNl6IxVugYOUSEfEQlOi6anLoVSPbIl4TqtfYZJ3T9Y7toC3yy156FwX2ZOaqVt0f11kEU.2VEk3TKknROp6JO13.fcNBC9bZfgMyujebY6ExSo0RSNMhgTZl2NVoHRLetNkTM9w8fNwHs77lV4eglloSABu2D6Zmm7ZXSGRMKlIALmAbdxQncmu1aTRWZ4BLwALs3uId-IxEUSfJe2zvXn-.ktGhJm.7YEouSi23EAOQj910vnkXdq8&v=4&ap=4&rp=4&idx=18","https://cbu01.alicdn.com/img/ibank/15567451440_573838658.jpg","11","100%","100%","97.65%","0%","0%","","5.0","60%","5.0","5.0","3.0","5.0","5.0","有限责任公司","8年","生产厂家","广东 深圳市宝安区 深圳市宝安区","中国广东深圳宝安区福永街道凤凰社区富源街106号","18823881877","3000","2016/03/01","3200m²","201 - 300 人"
"广州市白云区人和极速制动摩配商行","适用标致307 408 508雪铁龙世嘉凯旋C2 C5 RD45蓝牙音频适配器","¥14.25","https://detail.1688.com/offer/702702346198.html","https://cbu01.alicdn.com/O1CN01uBVkCJ1FjZx8SjYcB_!!2214179120523-0-cib.jpg","631","94.99%","94.17%","92.89%","0.32%","0%","","5.0","54%","3.0","5.0","4.0","5.0","4.0","个体经营","2年","生产厂家","广东 广州市白云区 广州市白云区","中国广东广州白云区人和镇鹤龙五路433号南国工业园17栋南国商务大厦7楼7787号","13915223690","3000","2021/08/26","100m²","5 - 10 人"
"广州市白云区人和极速制动摩配商行","适用宝马E60E63E64E65E81E82E87E90E91E92蓝牙无线音频线接收器","¥14.25","https://detail.1688.com/offer/701737722671.html","https://cbu01.alicdn.com/O1CN01BaYDJM1FjZxEr1u1N_!!2214179120523-0-cib.jpg","631","94.99%","94.17%","92.89%","0.32%","0%","","5.0","54%","3.0","5.0","4.0","5.0","4.0","个体经营","2年","生产厂家","广东 广州市白云区 广州市白云区","中国广东广州白云区人和镇鹤龙五路433号南国工业园17栋南国商务大厦7楼7787号","13915223690","3000","2021/08/26","100m²","5 - 10 人"
"惠州市悠途电子有限公司","汽车蓝牙车载音乐线通用型 2RCA莲花公头 蓝牙RCA音频线AUX音频线","¥9.41","https://detail.1688.com/offer/716239752459.html","https://cbu01.alicdn.com/O1CN01JG0jS31eHW6bt0bJw_!!4247363846-0-cib.jpg","31","64.29%","60.71%","77.39%","3.23%","0%","","4.0","61%","4.5","5.0","2.0","5.0","3.0","有限责任公司(自然人投资或控股)","2年","生产厂家","广东 博罗县 博罗县","中国广东惠州博罗县园洲镇廖尾村沿江路(80号二楼)","18922539330","3000","2018/10/24","2000m²","301 - 500 人"
"东莞市铠镒达电子科技有限公司","现货供应适用于宝马BMW 蓝牙AUX 音频输入12V","¥14.00","https://detail.1688.com/offer/571819780268.html","https://cbu01.alicdn.com/O1CN01YMobzK23Kb1OagmVJ_!!934437237-0-cib.jpg","64","81.25%","81.25%","14.77%","0%","0%","","4.0","77%","4.0","5.0","3.0","5.0","2.0","有限责任公司(自然人投资或控股)","15年","生产厂家","广东 东莞市 东莞市","中国广东东莞虎门镇白沙路北19号206室","13829220881","3000","2009/06/04","1000m²","11 - 50 人"
"东莞市达威电子有限公司","适用阿尔法 菲亚特蓝旗亚 罗密欧159SMART 451AUX音频改装蓝牙","¥17.10","https://detail.1688.com/offer/641515611607.html","https://cbu01.alicdn.com/O1CN01ml0TDj2CWoCmrYOnq_!!3102888482-0-cib.jpg","245","87.79%","82.26%","76.61%","0.82%","0%","实力工厂","4.0","62%","1.5","2.0","3.0","5.0","4.0","有限责任公司(自然人投资或控股)","7年","生产厂家","广东 东莞市 东莞市","中国广东东莞南城街道莞太路南城段6号2079室","13418906647","16000","2016/06/06","1000m²","101 - 200 人"
"深圳市柏盛高科技有限公司","25v4a泡沫机电源 100W过UL认证 CUL加拿大电源 EMC EMI安规电源","¥50.00","https://dj.1688.com/ci_bb?a=21446&e=v53q8twRYPS6XIlfcnF170cWFYBP6d3ykWHSu0b0waBLjHxDv1QtVHqNVOs-Mn9qTodk5e.HDA198ESy-YYMyscBKlaYNets8y3cTYUVW5-GEHpkYaC-XoJcja3LXGUYMxT4RulGCAiUlWfZ9vu9Wp1.Qgfht4n1459o2UUj5VoDaM1d.ciJGvNuYje0eDPAr0QtynUb9WzNltXW5GpyxdfY65Vs3VrR.wjGImB0HznxFUlvZZKDJBEzptyfHn93On3UVHu95At.q9u4mRq8KoWOacHGjFv9HOoKmDe2xjQW.QsqbHZpJOiTYuAMlagq82EjHh1j.ntLW7r0riMpYYnyE1MsR1Inq7goy6zBfhyoXusv.3er0XAivpg-Wn9ohbb0sPpscj4CY4Nh1SAk4OtImi952pfTSFQ1NTwEjra849fp-HmDAyuhyeEcuF7n1tDxOrOr5LsUK047jKztoLzQWlBCr-8LVPlqiuiCpzMWH8MsOSiqP6fEtxl3rU8.hIVlnR4atfj-og4vtbPxqHngXsUkA4OH9leVz8X47QUa3R5PwZvLXW8D8qdUWPngy5QYsUnq52D2ukv4-hEi3he1EZ7O3gUTjBpGd-OyeO9WbdI5YU5Pj2oY24oGSli9mXA673XUygGnWfuw03n5y-CWpdybVexBkmD2D4yXPrwdnNfWVtv-t5Z3rAo3u4FDxER30T2MgQ7eFz-S6oGQNcVpJxw6Mo7nl7MqMefe9O3L3bRnBq4Na9veNYrQDF2s9TC1CqDA.z0WQ6Wd7wnrWb3S2LeIgexkbLyFMmkolvX9g5SRXN0N0-O845YR468V4FbS6107xUMEKApo15isfA0QBDNbua9x7uOauT6WwDmKU24DIkGrt7AEMrVIyrNNTsvHfauLpBeyx3q0akc2trK.Sho0M64K356MvfPxAdQitaKZjMsamWfEYfozz1oedXCqAZ-KHkrfLXdvw9eauNTbL3pb5KgtNx0qj.R0AC8RDh25iYovhnlXUuHdA2VNkQ7I8Swr91VHxEJToumpy8g57AJ0mbkcdmRZuWpq2NuoSHBnY7bwyfo6po-QmtEDZBFP9lRJN0xG-OrcTIJwTbCpjYdDUOoomJeCUpe4zlzg4UeBLxq26VqRGDzTwl7aYTOJHp21VIRkEU.2VEk3TGMMCpK98fGx.fcNBC9bZfgMyujebY6ExY-J.6NkiKtAfWJALNLADdqRWzNKRgRgKIjrSv8E9HTZeiMVboGDlEiwqY2HQ1DqKAvr4hOl.RdbpjjLhiDI9W1ewYWjXl5gTgsUaSoKny910teNN2QhUAVcfMOl5DO9FJ9mynq0PFdqWEyBiHgr5uEEG6h7nxWluTnqVQcruXONXFSLQqp-8vR5SNdQR00xIg__&v=4&ap=3&rp=3&idx=12","https://cbu01.alicdn.com/img/ibank/O1CN01x2KG3m1P0N1d9e7nK_!!4130981778-0-cib.jpg","11","100%","100%","97.65%","0%","0%","","5.0","60%","5.0","5.0","3.0","5.0","5.0","有限责任公司","8年","生产厂家","广东 深圳市宝安区 深圳市宝安区","中国广东深圳宝安区福永街道凤凰社区富源街106号","18823881877","3000","2016/03/01","3200m²","201 - 300 人"
"广州淏汇科技有限公司","厂家新款汽车蓝牙先锋12P方形蓝牙镀锡铜线AUX连接音响播放音频线","¥12.54","https://detail.1688.com/offer/742542913597.html","https://cbu01.alicdn.com/O1CN01l2ZUC41omKxl9xYq5_!!2208721825267-0-cib.jpg","764","86.08%","87.31%","85.58%","0%","0%","","5.0","61%","4.0","5.0","3.0","5.0","4.0","一人有限责任公司","4年","经销批发","广东 广州市花都区 广州市花都区","中国广东广州花都区花山镇平龙路19号11栋122商铺(自主申报)","","3000","2018/04/09","","11 - 50 人"
"惠州市悠途电子有限公司","通用蓝牙RCA音频AUX蓝牙车载收音机2RCA接口左右声道蓝牙音频接收","¥12.80","https://detail.1688.com/offer/754913850891.html","https://cbu01.alicdn.com/O1CN01Udd1Zd1eHWAzyFreP_!!4247363846-0-cib.jpg","31","64.29%","60.71%","77.39%","3.23%","0%","","4.0","61%","4.5","5.0","2.0","5.0","3.0","有限责任公司(自然人投资或控股)","2年","生产厂家","广东 博罗县 博罗县","中国广东惠州博罗县园洲镇廖尾村沿江路(80号二楼)","18922539330","3000","2018/10/24","2000m²","301 - 500 人"
